date,delay_count,RR,TL,P,FF,SO,RF,station_id
2025-11-02,1,0.2,11.7,987.3,5.9,0.0,89.0,HW_25
2025-11-03,43,0.004651162790697674,9.23953488372093,999.0302325581396,3.3651162790697673,18.627906976744185,67.69767441860465,HW_25
2025-11-04,66,0.0,8.646969696969698,1001.3272727272728,1.4742424242424241,200.0,78.36363636363636,HW_25
2025-11-05,118,0.0,10.117543859649123,998.6737288135594,3.4127118644067798,273.3220338983051,70.7719298245614,HW_25
2025-11-06,99,0.0,10.938383838383839,991.649494949495,6.2585858585858585,290.90909090909093,69.63636363636364,HW_25
2025-11-07,102,0.0,9.214705882352941,991.0509803921568,5.272549019607843,426.96078431372547,76.25490196078431,HW_25
2025-11-08,46,0.006521739130434784,8.910869565217393,990.0130434782608,2.4130434782608696,0.0,81.43478260869566,HW_25
2025-11-09,26,0.0,8.238461538461538,992.1653846153846,2.5307692307692307,15.615384615384615,82.8076923076923,HW_25
2025-11-10,32,0.0,8.575,991.98125,1.99375,4.03125,84.71875,HW_25
2025-11-11,76,0.0,9.288157894736841,993.4368421052632,2.8342105263157897,137.43421052631578,77.9342105263158,HW_25
2025-11-12,41,0.0,3.8341463414634145,996.4975609756098,2.3536585365853657,0.0,97.5609756097561,HW_25
2025-11-13,92,0.0,3.985869565217391,996.4978260869566,3.154347826086956,0.0,96.80434782608695,HW_25
2025-11-14,123,0.0,6.039837398373984,991.4463414634146,2.286178861788618,0.0,93.52032520325203,HW_25
2025-11-15,112,0.0,7.4071428571428575,988.782142857143,1.9857142857142858,0.0,95.07142857142857,HW_25
2025-11-16,43,0.004651162790697674,7.727906976744186,984.3372093023256,1.0813953488372092,0.0,93.44186046511628,HW_25
2025-11-17,83,0.26987951807228916,7.137349397590361,979.2277108433734,3.3397590361445784,0.0,92.75903614457832,HW_25
2025-11-18,100,0.0,4.38,994.216,3.408,232.61,66.23,HW_25
2025-11-19,98,0.0,1.6897959183673468,987.765306122449,2.585714285714286,220.40816326530611,82.20408163265306,HW_25
2025-11-20,116,0.0,3.139655172413793,984.1198275862068,2.435344827586207,2.0948275862068964,76.53448275862068,HW_25
2025-11-21,95,0.0,2.223157894736842,991.9252631578946,5.0610526315789475,0.0,66.05263157894737,HW_25
2025-11-22,106,0.0037735849056603774,0.00943396226415095,997.5330188679245,6.713207547169811,52.39622641509434,64.45283018867924,HW_25
2025-11-23,53,0.025490196078431372,-2.467924528301887,991.5264150943397,4.6301886792452835,90.56603773584905,78.11320754716981,HW_25
2025-11-24,122,0.0,0.12049180327868854,979.1926229508197,2.5221311475409833,0.0,86.75409836065573,HW_25
2025-11-25,245,0.02326530612244898,1.8738775510204082,976.7628571428571,2.33265306122449,0.0,92.33877551020409,HW_25
2025-11-26,68,0.0,3.6514705882352945,986.4161764705883,4.6308823529411764,0.0,76.05882352941177,HW_25
2025-11-27,99,0.0,2.876767676767677,998.6050505050505,3.6737373737373735,0.0,68.52525252525253,HW_25
2025-11-28,108,0.0,1.6916666666666667,995.8138888888889,2.468518518518519,250.91666666666666,71.62962962962963,HW_25
2025-11-29,109,0.0,3.0990825688073396,990.8577981651376,1.0761467889908256,18.770642201834864,75.1743119266055,HW_25
2025-11-30,59,0.0,2.810169491525424,990.5440677966102,1.3915254237288135,0.0,94.76271186440678,HW_25
2025-12-01,77,0.0,4.562337662337662,995.0246753246753,1.736363636363636,38.857142857142854,88.9090909090909,HW_25
2025-12-02,133,0.0,2.6669172932330825,993.4736842105264,3.6330827067669174,0.0,97.76691729323308,HW_25
2025-12-03,59,0.0,3.6186440677966103,991.8915254237288,3.7610169491525425,0.0,93.03389830508475,HW_25
2025-12-04,118,0.04576271186440678,4.588983050847458,986.7627118644068,3.0144067796610168,0.0,92.63559322033899,HW_25
2025-12-05,59,0.025423728813559324,5.298305084745763,985.1830508474576,5.11864406779661,0.0,89.33898305084746,HW_25
2025-12-06,125,0.0,5.268,989.4336,0.9703999999999999,2.016,84.304,HW_25
2025-12-07,51,0.0,7.754901960784314,990.9647058823529,2.2372549019607844,62.431372549019606,79.98039215686275,HW_25
2025-12-08,54,0.007407407407407408,7.037037037037037,995.7425925925926,1.0425925925925927,0.0,95.5925925925926,HW_25
2025-12-09,183,0.0,5.5420765027322405,995.4814207650273,1.4797814207650273,0.0,98.24043715846994,HW_25
2025-12-10,89,0.0,4.286516853932584,997.5988764044944,1.1820224719101124,44.157303370786515,96.47191011235955,HW_25
2025-12-11,165,0.0,8.564242424242424,999.449090909091,2.1224242424242425,28.042424242424243,83.49090909090908,HW_25
2025-12-12,123,0.0,3.3008130081300813,1001.0926829268292,1.08130081300813,0.0,99.8780487804878,HW_25
2025-12-13,59,0.0,2.740677966101695,1003.457627118644,1.4610169491525424,0.0,97.98305084745763,HW_25
2025-12-14,78,0.0,2.174358974358974,1003.7730769230769,1.9038461538461537,0.0,94.5,HW_25
2025-12-15,113,0.0,-0.1831858407079646,1000.1725663716815,3.709734513274336,0.0,96.60176991150442,HW_25
2025-12-16,37,0.0,0.33513513513513515,996.7108108108109,4.178378378378378,0.0,96.37837837837837,HW_25
2025-12-17,4,0.0,1.975,998.5,2.0,0.0,95.0,HW_25
2025-12-18,4,0.0,2.9000000000000004,1001.675,1.9500000000000002,0.0,96.5,HW_25
2025-12-19,2,0.0,3.55,1000.55,2.05,0.0,100.0,HW_25
2025-12-21,1,0.0,2.9,993.8,3.3,0.0,99.0,HW_25
2025-12-22,4,0.0,3.675,991.8,6.15,0.0,88.0,HW_25
